order_date,order_time,product_category,qty,unit_price,store_id,store_location,customer_id,customer_age,customer_gender,loyalty_member,is_repeat_customer,customer_discovery_source,payment_method,discount_applied,total_amount,promo_applied,promo_type
2023-04-29,22:47:20,Pizza,3,7.08,STORE_7,Airport,CUST_1,36,Female,False,False,Walk-in,Cash,0.23,29.27,False,None
2023-02-26,09:44:20,Coffee,4,4.97,STORE_10,Suburbs,CUST_2,39,Male,True,True,Walk-in,Wallet,0.46,36.52,True,None
2021-08-08,20:50:40,Coffee,1,3.17,STORE_4,Airport,CUST_3,19,Female,True,False,Social Media,Card,0.24,13.17,False,Flat discount
2022-01-29,16:31:01,Pizza,3,6.42,STORE_4,Suburbs,CUST_4,25,Female,True,False,Walk-in,UPI,0.35,17.88,False,Flat discount
2022-04-12,07:18:01,Snacks,3,4.51,STORE_8,Uptown,CUST_5,53,Male,False,True,Friend,Cash,0.32,45.61,True,Flat discount
2022-07-14,21:33:07,Tea,4,5.57,STORE_6,Airport,CUST_6,25,Female,False,False,Event,Cash,0.02,46.45,False,% off
2024-05-03,07:22:20,Tea,1,2.64,STORE_8,Airport,CUST_7,41,Male,False,False,Online Ad,UPI,0.18,12.05,True,None
2023-12-14,02:38:46,Tea,1,5.79,STORE_10,Suburbs,CUST_8,57,Female,False,True,Online Ad,Card,0.25,46.12,True,Flat discount
2024-08-30,21:26:52,Pizza,3,4.24,STORE_1,Airport,CUST_9,50,Female,False,False,Social Media,UPI,0.3,17.47,True,Flat discount
2024-01-02,17:03:12,Coffee,2,4.01,STORE_2,Downtown,CUST_10,22,Male,True,True,Walk-in,Wallet,0.22,26.52,True,BOGO
2022-04-19,15:27:57,Pizza,3,7.88,STORE_6,Suburbs,CUST_11,27,Female,True,False,Friend,Cash,0.08,10.41,False,BOGO
2020-02-25,12:06:48,Pizza,3,4.59,STORE_6,Downtown,CUST_12,55,Other,False,False,Social Media,UPI,0.45,28.9,False,% off
2022-09-14,05:35:22,Cake,3,6.07,STORE_1,Downtown,CUST_13,29,Female,True,False,Walk-in,UPI,0.27,45.87,True,Flat discount
2021-09-05,14:55:39,Coffee,3,5.77,STORE_9,Downtown,CUST_14,31,Other,False,True,Online Ad,Wallet,0.06,23.67,True,% off
2023-04-08,15:40:18,Cake,4,2.63,STORE_9,Downtown,CUST_15,58,Female,True,False,Online Ad,Card,0.01,41.38,False,None
2024-01-19,12:33:06,Merchandise,1,6.49,STORE_1,Suburbs,CUST_16,42,Other,True,False,Online Ad,Card,0.33,40.29,False,BOGO
2020-06-21,16:39:51,Coffee,4,3.94,STORE_7,Suburbs,CUST_17,52,Male,True,True,Social Media,Cash,0.23,33.74,False,None
2024-02-16,09:37:42,Coffee,4,6.79,STORE_4,Airport,CUST_18,42,Male,False,False,Walk-in,UPI,0.03,41.93,True,Flat discount
2023-02-11,12:49:23,Coffee,4,5.65,STORE_10,Uptown,CUST_19,61,Female,False,True,Walk-in,Cash,0.03,31.97,False,% off
2020-11-22,14:06:30,Tea,3,3.9,STORE_6,Downtown,CUST_20,39,Male,True,False,Friend,UPI,0.02,23.53,False,% off
2023-11-14,11:14:11,Tea,2,4.14,STORE_9,Uptown,CUST_21,63,Male,False,False,Friend,UPI,0.07,28.39,False,None
2020-06-14,17:00:23,Cake,1,6.39,STORE_5,Uptown,CUST_22,21,Female,True,False,Walk-in,Card,0.35,10.83,True,BOGO
2024-04-16,16:18:30,Cake,2,5.3,STORE_6,Suburbs,CUST_23,36,Female,False,True,Social Media,Cash,0.19,6.25,True,Flat discount
2023-04-01,21:36:24,Coffee,4,6.01,STORE_5,Uptown,CUST_24,37,Female,True,True,Walk-in,Cash,0.41,33.74,False,% off
2021-02-28,22:44:36,Cake,4,2.95,STORE_6,Airport,CUST_25,44,Female,False,True,Social Media,Wallet,0.48,12.68,False,% off
2024-06-16,03:19:12,Tea,2,6.72,STORE_1,Airport,CUST_26,40,Male,True,True,Friend,Card,0.04,31.91,False,None
2020-05-26,07:43:00,Pizza,2,3.92,STORE_6,Suburbs,CUST_27,56,Male,True,True,Walk-in,Wallet,0.31,13.71,True,Flat discount
2020-09-14,20:37:47,Pizza,2,5.72,STORE_3,Downtown,CUST_28,64,Male,True,False,Social Media,UPI,0.01,6.57,True,BOGO
2021-02-08,22:15:55,Pizza,4,2.69,STORE_10,Suburbs,CUST_29,63,Other,False,False,Social Media,UPI,0.16,49.53,False,% off
2024-05-07,22:52:09,Cake,4,3.93,STORE_7,Uptown,CUST_30,30,Female,False,True,Walk-in,Card,0.14,32.24,False,None
2024-06-18,10:44:44,Merchandise,1,5.89,STORE_6,Suburbs,CUST_31,61,Male,False,False,Walk-in,Wallet,0.49,14.51,False,Flat discount
2024-01-30,04:46:24,Tea,1,3.65,STORE_4,Uptown,CUST_32,64,Male,False,False,Walk-in,Wallet,0.14,15.86,False,% off
2021-05-21,11:02:33,Merchandise,4,7.28,STORE_8,Suburbs,CUST_33,32,Female,False,True,Online Ad,Wallet,0.37,28.35,True,None
2020-09-12,22:25:00,Cake,2,5.97,STORE_1,Uptown,CUST_34,33,Other,False,False,Online Ad,UPI,0.01,12.43,True,% off
2022-09-06,04:59:02,Snacks,2,7.22,STORE_5,Suburbs,CUST_35,56,Other,False,True,Social Media,Card,0.47,13.65,False,Flat discount
2021-07-07,22:38:35,Cold Drinks,1,4.37,STORE_8,Uptown,CUST_36,59,Female,False,False,Event,UPI,0.07,16.72,True,% off
2024-01-05,03:22:32,Cold Drinks,4,2.2,STORE_7,Downtown,CUST_37,61,Male,True,True,Event,Wallet,0.05,30.47,False,% off
2023-02-27,00:13:39,Coffee,1,5.46,STORE_9,Airport,CUST_38,43,Female,False,True,Social Media,Cash,0.47,38.94,False,BOGO
2024-02-26,23:15:51,Cold Drinks,1,4.04,STORE_1,Downtown,CUST_39,61,Male,False,True,Social Media,Wallet,0.04,10.98,True,None
2023-08-18,20:37:10,Cold Drinks,3,4.69,STORE_10,Suburbs,CUST_40,43,Female,False,True,Friend,Wallet,0.27,15.19,False,None
2022-02-19,20:14:03,Tea,3,6.09,STORE_9,Uptown,CUST_41,24,Female,False,False,Social Media,Wallet,0.34,38.38,True,Flat discount
